id_cliente,nome,cidade_origem,estado_origem,faixa_etaria,tipo_cliente
1,Otavio Reis,São Paulo,SP,18-25,Pessoa jurídica
2,Larissa Sousa,Curitiba,PR,18-25,Pessoa física
3,Tatiana Coelho,Rio de Janeiro,RJ,65+,Pessoa jurídica
4,Wilson Duarte,Brasília,DF,26-35,Pessoa jurídica
5,Gabriela Lima,Rio de Janeiro,RJ,46-55,Pessoa física
6,Ulisses Brito,Brasília,DF,56-65,Pessoa física
7,Kleber Pires,São Paulo,SP,65+,Pessoa física
8,Olivia Freitas,Brasília,DF,18-25,Pessoa jurídica
9,Wesley Araujo,Belo Horizonte,MG,Não informado,Pessoa jurídica
10,Ivan Azevedo,Curitiba,PR,26-35,Pessoa física
11,Roberta Leite,São Paulo,SP,18-25,Pessoa física
12,Nicolas Cunha,Fortaleza,CE,65+,Pessoa jurídica
13,João Pereira,Recife,PE,26-35,Pessoa física
14,Larissa Sousa,Rio de Janeiro,RJ,36-45,Pessoa física
15,  Henrique Rocha ,Recife,PE,Não informado,Pessoa física
16,Marcos Andrade,São Paulo,SP,Não informado,Pessoa jurídica
17,Roberta Leite,Salvador,BA,36-45,Pessoa jurídica
18,Gustavo Vieira,Curitiba,PR,26-35,Pessoa física
19,João Pereira,Brasília,DF,26-35,Pessoa física
20,Thiago Matos  ,Fortaleza,CE,Não informado,Pessoa física
21,Elena Santos,Salvador,BA,56-65,Pessoa física
22,Helena Borges,Curitiba,PR,56-65,Pessoa jurídica
23,Tatiana Coelho,Curitiba,PR,46-55,Pessoa jurídica
24,Elena Santos,Rio de Janeiro,RJ,18-25,Pessoa física
25,Olivia Freitas,Curitiba,PR,18-25,Pessoa jurídica
26,Ivan Azevedo,São Paulo,SP,65+,Pessoa jurídica
27,Gabriela Lima,São Paulo,SP,46-55,Pessoa jurídica
28,Diego Ferreira,Fortaleza,CE,65+,Pessoa jurídica
29,Isabela Martins,São Paulo,SP,Não informado,Pessoa jurídica
30,  Diego Ferreira ,Belo Horizonte,MG,56-65,Pessoa física
31,Abel Correia,Rio de Janeiro,RJ,46-55,Pessoa física
32,Yuri Castro,Fortaleza,CE,46-55,Pessoa jurídica
33,João Pereira,Brasília,DF,36-45,Pessoa física
34,Diego Ferreira,São Paulo,SP,56-65,Pessoa jurídica
35,Lucas Souza,Curitiba,PR,56-65,Pessoa física
36,Larissa Sousa,Salvador,BA,18-25,Pessoa física
37,Nicolas Cunha,Salvador,BA,65+,Pessoa jurídica
38,Daniela Ramos,São Paulo,SP,18-25,Pessoa física
39,Ivan Azevedo,Curitiba,PR,Não informado,Pessoa jurídica
40,Xuxa Farias  ,Rio de Janeiro,RJ,26-35,Pessoa jurídica
41,Quincy Braga,Salvador,BA,56-65,Pessoa jurídica
42,Henrique Rocha,Curitiba,PR,65+,Pessoa física
43,Roberta Leite,Recife,PE,Não informado,Pessoa jurídica
44,Rafael Cardoso,Fortaleza,CE,18-25,Pessoa jurídica
45,  Julia Monteiro ,Belo Horizonte,MG,46-55,Pessoa física
46,Ivan Azevedo,Rio de Janeiro,RJ,36-45,Pessoa física
47,Wesley Araujo,Recife,PE,65+,Pessoa física
48,Natalia Campos,Recife,PE,26-35,Pessoa física
49,Bruno Costa,Curitiba,PR,65+,Pessoa jurídica
50,Rafael Cardoso,Curitiba,PR,65+,Pessoa física
51,Daniela Ramos,Salvador,BA,36-45,Pessoa física
52,Elena Santos,Brasília,DF,36-45,Pessoa jurídica
53,Bruno Costa,Recife,PE,Não informado,Pessoa física
54,Wesley Araujo,Curitiba,PR,36-45,Pessoa jurídica
55,Quezia Nunes,Curitiba,PR,65+,Pessoa jurídica
56,Xuxa Farias,Salvador,BA,18-25,Pessoa jurídica
57,Gustavo Vieira,Curitiba,PR,65+,Pessoa jurídica
58,Abel Correia,Rio de Janeiro,RJ,46-55,Pessoa física
59,Thiago Matos,Fortaleza,CE,26-35,Pessoa jurídica
60,  Carlos Neto ,São Paulo,SP,26-35,Pessoa jurídica
61,Sara Teixeira,Salvador,BA,65+,Pessoa jurídica
62,Olivia Freitas,São Paulo,SP,26-35,Pessoa física
63,Daniela Ramos,Belo Horizonte,MG,65+,Pessoa física
64,Patricia Vaz,Fortaleza,CE,18-25,Pessoa física
65,Diego Ferreira,Brasília,DF,26-35,Pessoa física
66,Wilson Duarte,Fortaleza,CE,56-65,Pessoa jurídica
67,Carlos Neto,Salvador,BA,26-35,Pessoa jurídica
68,Carlos Neto,São Paulo,SP,65+,Pessoa jurídica
69,Isabela Martins,Recife,PE,Não informado,Pessoa jurídica
70,Victor Gomes,Rio de Janeiro,RJ,46-55,Pessoa jurídica
71,Wilson Duarte,Recife,PE,46-55,Pessoa jurídica
72,Ivan Azevedo,Recife,PE,65+,Pessoa física
73,Victor Gomes,Rio de Janeiro,RJ,65+,Pessoa jurídica
74,Zara Moraes,Belo Horizonte,MG,56-65,Pessoa física
75,  Diego Ferreira ,Recife,PE,46-55,Pessoa jurídica
76,Rafael Cardoso,Rio de Janeiro,RJ,46-55,Pessoa jurídica
77,Wesley Araujo,Curitiba,PR,65+,Pessoa física
78,Marina Barbosa,Curitiba,PR,18-25,Pessoa física
79,Daniela Ramos,São Paulo,SP,36-45,Pessoa jurídica
80,Ximena Godoi  ,Recife,PE,26-35,Pessoa jurídica
81,Zara Moraes,Salvador,BA,26-35,Pessoa física
82,Roberta Leite,Brasília,DF,18-25,Pessoa física
83,Ana Silva,Fortaleza,CE,46-55,Pessoa jurídica
84,Tatiana Coelho,Fortaleza,CE,46-55,Pessoa física
85,Daniela Ramos,Salvador,BA,65+,Pessoa jurídica
86,Carlos Neto,Fortaleza,CE,46-55,Pessoa jurídica
87,Nicolas Cunha,Rio de Janeiro,RJ,36-45,Pessoa jurídica
